candidate_query,normalized_intent,body_area,symptom,situation,timing,closest_existing_url,closest_existing_topic,overlap_risk,unique_intent,medical_value,commercial_relevance,funnel_target_url,red_flag_sensitivity,recommended_action,priority,notes
Knie schmerzt nach dem Joggen,knie: schmerzt nach dem joggen,Knie,schmerzt,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/knieschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Knie sticht beim Knien,knie: schmerzt beim knien,Knie,sticht,beim Knien,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Knie sticht beim Treppab-Gehen,knie: schmerzt beim treppab-gehen,Knie,sticht,beim Treppab-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Knie sticht nach dem Joggen,knie: schmerzt nach dem joggen,Knie,sticht,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Knie zieht beim Knien,knie: schmerzt beim knien,Knie,zieht,beim Knien,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Knie zieht beim Treppab-Gehen,knie: schmerzt beim treppab-gehen,Knie,zieht,beim Treppab-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Knie zieht nach dem Joggen,knie: schmerzt nach dem joggen,Knie,zieht,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie knackt beim Aufstehen?,knie: knackt beim aufstehen,Knie,knackt,beim Aufstehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum knie knackt beim In-die-Hocke-Gehen?,knie: knackt beim in-die-hocke-gehen,Knie,knackt,beim In-die-Hocke-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum knie knackt beim Treppensteigen?,knie: knackt beim treppensteigen,Knie,knackt,beim Treppensteigen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum knie schmerzt beim Knien?,knie: schmerzt beim knien,Knie,schmerzt,beim Knien,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/knieschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum knie schmerzt beim Treppab-Gehen?,knie: schmerzt beim treppab-gehen,Knie,schmerzt,beim Treppab-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/knieschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum knie schmerzt nach dem Joggen?,knie: schmerzt nach dem joggen,Knie,schmerzt,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/knieschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum knie sticht beim Knien?,knie: schmerzt beim knien,Knie,sticht,beim Knien,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie sticht beim Treppab-Gehen?,knie: schmerzt beim treppab-gehen,Knie,sticht,beim Treppab-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie sticht nach dem Joggen?,knie: schmerzt nach dem joggen,Knie,sticht,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie zieht beim Knien?,knie: schmerzt beim knien,Knie,zieht,beim Knien,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie zieht beim Treppab-Gehen?,knie: schmerzt beim treppab-gehen,Knie,zieht,beim Treppab-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum knie zieht nach dem Joggen?,knie: schmerzt nach dem joggen,Knie,zieht,nach dem Joggen,,/beschwerden/knieschmerzen/,Knieschmerzen,high,no,medium,low,/beschwerden/knieschmerzen/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn knie knackt beim Aufstehen?,knie: knackt beim aufstehen,Knie,knackt,beim Aufstehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn knie knackt beim In-die-Hocke-Gehen?,knie: knackt beim in-die-hocke-gehen,Knie,knackt,beim In-die-Hocke-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn knie knackt beim Treppensteigen?,knie: knackt beim treppensteigen,Knie,knackt,beim Treppensteigen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn knie knackt beim Aufstehen?,knie: knackt beim aufstehen,Knie,knackt,beim Aufstehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn knie knackt beim In-die-Hocke-Gehen?,knie: knackt beim in-die-hocke-gehen,Knie,knackt,beim In-die-Hocke-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn knie knackt beim Treppensteigen?,knie: knackt beim treppensteigen,Knie,knackt,beim Treppensteigen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,no,medium,medium,/beschwerden/knieschmerzen/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Warum konzentration lässt nach ab Mittag?,konzentration: lässt nach ab mittag,Konzentration,lässt nach,ab Mittag,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum konzentration lässt nach im Gespräch?,konzentration: lässt nach im gespräch,Konzentration,lässt nach,im Gespräch,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum konzentration lässt nach seit Monaten?,konzentration: lässt nach seit monaten,Konzentration,lässt nach,seit Monaten,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn konzentration lässt nach ab Mittag?,konzentration: lässt nach ab mittag,Konzentration,lässt nach,ab Mittag,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn konzentration lässt nach im Gespräch?,konzentration: lässt nach im gespräch,Konzentration,lässt nach,im Gespräch,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn konzentration lässt nach seit Monaten?,konzentration: lässt nach seit monaten,Konzentration,lässt nach,seit Monaten,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn konzentration lässt nach ab Mittag?,konzentration: lässt nach ab mittag,Konzentration,lässt nach,ab Mittag,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn konzentration lässt nach im Gespräch?,konzentration: lässt nach im gespräch,Konzentration,lässt nach,im Gespräch,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn konzentration lässt nach seit Monaten?,konzentration: lässt nach seit monaten,Konzentration,lässt nach,seit Monaten,,/beschwerden/erschoepfung/,Erschöpfung,medium,no,medium,medium,/beschwerden/erschoepfung/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf fühlt sich benommen an beim Aufstehen,kopf: fühlt sich benommen an beim aufstehen,Kopf,fühlt sich benommen an,beim Aufstehen,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf fühlt sich benommen an den ganzen Tag,kopf: fühlt sich benommen an den ganzen tag,Kopf,fühlt sich benommen an,den ganzen Tag,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf fühlt sich benommen an wie in Watte,kopf: fühlt sich benommen an wie in watte,Kopf,fühlt sich benommen an,wie in Watte,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt am Wochenende,kopf: schmerzt am wochenende,Kopf,schmerzt,am Wochenende,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt bei Wetterwechsel,kopf: schmerzt bei wetterwechsel,Kopf,schmerzt,bei Wetterwechsel,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt beim Bücken,kopf: schmerzt beim bücken,Kopf,schmerzt,beim Bücken,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt direkt nach dem Aufstehen,kopf: schmerzt direkt nach dem aufstehen,Kopf,schmerzt,direkt nach dem Aufstehen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt hinter den Augen,kopf: schmerzt hinter den augen,Kopf,schmerzt,hinter den Augen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt nach dem Sport,kopf: schmerzt nach dem sport,Kopf,schmerzt,nach dem Sport,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf schmerzt nur auf einer Seite,kopf: schmerzt nur auf einer seite,Kopf,schmerzt,nur auf einer Seite,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Kopf sticht am Wochenende,kopf: schmerzt am wochenende,Kopf,sticht,am Wochenende,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht bei Wetterwechsel,kopf: schmerzt bei wetterwechsel,Kopf,sticht,bei Wetterwechsel,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht beim Bücken,kopf: schmerzt beim bücken,Kopf,sticht,beim Bücken,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht beim Husten,kopf: schmerzt beim husten,Kopf,sticht,beim Husten,,/beschwerden/kopfschmerzen/,Kopfschmerzen,medium,no,medium,medium,/beschwerden/kopfschmerzen/,medium,MERGE_INTO_EXISTING,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht direkt nach dem Aufstehen,kopf: schmerzt direkt nach dem aufstehen,Kopf,sticht,direkt nach dem Aufstehen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht hinter den Augen,kopf: schmerzt hinter den augen,Kopf,sticht,hinter den Augen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht nach dem Sport,kopf: schmerzt nach dem sport,Kopf,sticht,nach dem Sport,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf sticht nur auf einer Seite,kopf: schmerzt nur auf einer seite,Kopf,sticht,nur auf einer Seite,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht am Wochenende,kopf: schmerzt am wochenende,Kopf,zieht,am Wochenende,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht bei Wetterwechsel,kopf: schmerzt bei wetterwechsel,Kopf,zieht,bei Wetterwechsel,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht beim Bücken,kopf: schmerzt beim bücken,Kopf,zieht,beim Bücken,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht beim Husten,kopf: schmerzt beim husten,Kopf,zieht,beim Husten,,/beschwerden/kopfschmerzen/,Kopfschmerzen,medium,no,medium,medium,/beschwerden/kopfschmerzen/,medium,MERGE_INTO_EXISTING,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht direkt nach dem Aufstehen,kopf: schmerzt direkt nach dem aufstehen,Kopf,zieht,direkt nach dem Aufstehen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht hinter den Augen,kopf: schmerzt hinter den augen,Kopf,zieht,hinter den Augen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht nach dem Sport,kopf: schmerzt nach dem sport,Kopf,zieht,nach dem Sport,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Kopf zieht nur auf einer Seite,kopf: schmerzt nur auf einer seite,Kopf,zieht,nur auf einer Seite,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf fühlt sich benommen an beim Aufstehen?,kopf: fühlt sich benommen an beim aufstehen,Kopf,fühlt sich benommen an,beim Aufstehen,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf fühlt sich benommen an den ganzen Tag?,kopf: fühlt sich benommen an den ganzen tag,Kopf,fühlt sich benommen an,den ganzen Tag,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf fühlt sich benommen an wie in Watte?,kopf: fühlt sich benommen an wie in watte,Kopf,fühlt sich benommen an,wie in Watte,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schwindel/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt am Wochenende?,kopf: schmerzt am wochenende,Kopf,schmerzt,am Wochenende,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt bei Wetterwechsel?,kopf: schmerzt bei wetterwechsel,Kopf,schmerzt,bei Wetterwechsel,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt beim Bücken?,kopf: schmerzt beim bücken,Kopf,schmerzt,beim Bücken,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt beim Husten?,kopf: schmerzt beim husten,Kopf,schmerzt,beim Husten,,/beschwerden/kopfschmerzen/,Kopfschmerzen,medium,no,medium,medium,/beschwerden/kopfschmerzen/,medium,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum kopf schmerzt direkt nach dem Aufstehen?,kopf: schmerzt direkt nach dem aufstehen,Kopf,schmerzt,direkt nach dem Aufstehen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt hinter den Augen?,kopf: schmerzt hinter den augen,Kopf,schmerzt,hinter den Augen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt nach dem Sport?,kopf: schmerzt nach dem sport,Kopf,schmerzt,nach dem Sport,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf schmerzt nur auf einer Seite?,kopf: schmerzt nur auf einer seite,Kopf,schmerzt,nur auf einer Seite,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/kopfschmerzen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum kopf sticht am Wochenende?,kopf: schmerzt am wochenende,Kopf,sticht,am Wochenende,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht bei Wetterwechsel?,kopf: schmerzt bei wetterwechsel,Kopf,sticht,bei Wetterwechsel,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht beim Bücken?,kopf: schmerzt beim bücken,Kopf,sticht,beim Bücken,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht beim Husten?,kopf: schmerzt beim husten,Kopf,sticht,beim Husten,,/beschwerden/kopfschmerzen/,Kopfschmerzen,medium,no,medium,medium,/beschwerden/kopfschmerzen/,medium,MERGE_INTO_EXISTING,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht direkt nach dem Aufstehen?,kopf: schmerzt direkt nach dem aufstehen,Kopf,sticht,direkt nach dem Aufstehen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht hinter den Augen?,kopf: schmerzt hinter den augen,Kopf,sticht,hinter den Augen,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum kopf sticht nach dem Sport?,kopf: schmerzt nach dem sport,Kopf,sticht,nach dem Sport,,/beschwerden/kopfschmerzen/,Kopfschmerzen,high,no,medium,low,/beschwerden/kopfschmerzen/,medium,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
